E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
UFSP2	0.418	0.379	0.423	0.373	0.233	0.223	0.446	0.435	0.532	0.663	0.897	0.549	0.489	0.465	0.736
LOC101928371	0.799	0.406	0.62	0.375	0.149	0.214	0.149	0.412	0.485	0.448	0.356	0.635	0.508	0.473	0.616
LOC101928370	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.014	NA	NA	0.0	0.048	0.0	0.0
LOC101928372	0.271	0.125	0.263	0.057	0.109	0.053	0.134	0.153	0.276	0.266	0.339	0.127	0.199	0.116	0.14
LOC101928378	0.637	0.2	0.44	0.11	0.048	0.143	0.064	0.37	0.268	0.444	0.352	0.443	0.37	0.216	0.57
FAM212B	0.085	0.043	0.1	0.018	0.038	0.005	0.053	0.09	0.184	0.18	0.051	0.063	0.069	0.023	0.076
FAM212A	0.187	0.032	0.229	0.031	0.037	0.0	0.0	0.135	0.066	0.071	0.0	0.008	0.0	0.015	0.007
CHST9	0.21	0.299	0.302	0.078	0.108	0.137	0.184	0.204	0.309	0.41	0.427	0.393	0.435	0.356	0.427
CHST8	0.112	0.152	0.128	0.036	0.022	0.074	0.074	0.037	0.079	0.174	0.171	0.196	0.201	0.107	0.068
CHST1	0.065	0.085	0.062	0.023	0.0	0.008	0.016	0.007	0.015	0.075	0.095	0.003	0.017	0.105	0.012
CHST3	0.101	0.131	0.091	0.064	0.025	0.087	0.017	0.064	0.196	0.066	0.145	0.158	0.021	0.027	0.041
CHST2	0.02	0.009	0.013	0.01	0.019	0.011	0.0	0.005	0.0	0.01	0.011	0.019	0.007	0.0	0.012
CHST5	0.318	0.17	0.183	0.359	0.196	0.164	0.49	0.168	0.323	0.283	0.184	0.198	0.094	0.353	0.317
CHST4	0.737	0.96	0.632	0.333	0.5	0.487	0.44	0.693	0.571	0.551	1.0	0.552	0.797	0.664	0.722
CHST7	0.154	0.102	0.081	0.05	0.081	0.037	0.044	0.094	0.097	0.239	0.154	0.171	0.119	0.117	0.092
CHST6	0.406	0.52	0.215	0.217	0.187	0.106	0.345	0.209	0.291	0.283	0.724	0.357	0.196	0.295	0.497
ITGAX	0.098	0.242	0.082	0.081	0.177	0.019	0.007	0.055	0.026	0.213	0.523	0.073	0.044	0.233	0.248
BCL2A1	0.111	0.111	0.278	0.167	0.0	0.095	0.071	0.5	0.25	0.52	0.75	0.053	0.485	0.385	0.167
ITGAV	0.369	0.273	0.399	0.277	0.196	0.216	0.2	0.5	0.747	0.417	0.28	0.562	0.496	0.377	0.451
ITGAL	0.2	0.368	0.355	0.266	0.281	0.11	0.11	0.176	0.122	0.204	0.381	0.122	0.235	0.362	0.193
ITGAM	0.168	0.33	0.21	0.13	0.108	0.032	0.028	0.186	0.162	0.271	0.487	0.214	0.258	0.243	0.274
ITGAD	0.199	0.227	0.216	0.11	0.128	0.025	0.052	0.124	0.121	0.22	0.54	0.087	0.141	0.279	0.233
COPRS	0.211	0.188	0.389	0.097	0.092	0.303	0.13	0.169	0.179	0.248	0.244	0.324	0.26	0.432	0.531
IGF2R	0.702	0.422	0.496	0.264	0.207	0.456	0.272	0.559	0.613	0.64	0.565	0.748	0.489	0.517	0.595
PAXIP1OS	0.837	0.5	0.5	0.274	0.109	0.556	0.346	0.833	0.516	0.633	0.8	0.555	0.68	0.622	0.658
SLC36A4	0.407	0.815	0.093	0.151	0.175	0.349	0.25	0.453	0.783	0.346	0.403	0.54	0.518	0.766	0.781
SLC36A3	0.29	0.389	0.111	0.294	0.174	0.033	0.104	0.281	0.49	0.284	0.265	0.36	0.401	0.352	0.582
CKS1B	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.083	0.0	0.0	0.019	0.041
SLC36A1	0.615	0.661	0.512	0.057	0.303	0.136	0.424	0.645	0.455	0.704	0.984	0.559	0.616	0.62	0.774
ARTN	0.109	0.328	0.065	0.006	0.006	0.005	0.009	0.011	0.0	0.008	0.034	0.013	0.008	0.007	0.008
ART1	0.271	0.265	0.199	0.092	0.116	0.107	0.037	0.139	0.253	0.402	0.335	0.214	0.207	0.313	0.36
ART3	0.455	0.446	0.32	0.156	0.226	0.219	0.129	0.523	0.448	0.503	0.479	0.46	0.658	0.434	0.557
ART5	0.776	0.423	0.712	0.343	0.135	0.269	0.3	0.287	0.403	0.616	0.596	0.564	0.26	0.436	0.739
ART4	0.75	0.333	0.464	0.333	0.75	0.286	0.222	0.667	0.5	0.571	0.833	0.625	0.808	0.4	1.0
MGC57346	0.461	0.487	0.522	0.473	0.315	0.26	0.183	0.312	0.268	0.43	1.0	0.354	0.52	0.574	0.634
RFPL1	0.032	0.333	0.375	0.034	0.125	0.455	0.389	0.315	0.161	0.256	0.0	0.375	0.125	0.591	0.425
CRTAM	0.195	0.25	0.33	0.16	0.211	0.042	0.036	0.045	0.224	0.378	0.253	0.396	0.263	0.327	0.25
CADPS2	0.688	0.647	0.606	0.33	0.327	0.331	0.384	0.728	0.765	0.673	0.699	0.704	0.612	0.789	0.755
RLF	0.694	0.78	0.509	0.27	0.75	0.29	0.376	0.545	0.753	0.682	0.533	0.502	0.587	0.441	0.636
USP17L30	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	NA	0.0	0.0	0.047	0.041
LOC102723927	0.817	0.941	0.639	0.419	0.417	0.357	0.102	0.364	0.59	0.561	0.0	0.837	0.33	0.243	0.578
CRTAP	0.558	0.423	0.296	0.317	0.248	0.105	0.377	0.559	0.453	0.42	0.532	0.392	0.43	0.449	0.648
ADPGK	0.338	0.148	0.395	0.198	0.414	0.092	0.167	0.239	0.25	0.447	0.437	0.324	0.29	0.348	0.737
HPYR1	0.0	NA	0.5	0.0	NA	0.0	NA	1.0	NA	NA	NA	0.333	0.5	0.5	0.5
CPEB4	0.574	0.694	0.7	0.24	0.644	0.522	0.613	0.54	0.467	0.442	0.542	0.568	0.517	0.773	0.643
CPEB1	0.449	0.494	0.444	0.348	0.176	0.223	0.193	0.377	0.507	0.39	0.47	0.385	0.525	0.345	0.324
CPEB3	0.744	0.716	0.601	0.363	0.274	0.356	0.31	0.574	0.674	0.641	0.686	0.676	0.531	0.605	0.536
CPEB2	0.132	0.069	0.097	0.074	0.021	0.098	0.05	0.165	0.298	0.263	0.106	0.1	0.189	0.163	0.117
SRBD1	0.795	0.736	0.715	0.498	0.288	0.539	0.366	0.797	0.687	0.788	0.628	0.756	0.743	0.74	0.873
ABAT	0.499	0.444	0.485	0.285	0.219	0.241	0.174	0.39	0.384	0.461	0.753	0.387	0.436	0.59	0.494
POU5F1B	0.333	1.0	0.25	0.581	NA	0.692	0.273	1.0	0.0	0.333	0.143	0.786	0.412	0.333	0.056
LOC284865	0.07	0.0	0.078	0.021	0.0	0.0	0.014	0.051	0.009	0.159	0.0	0.158	0.165	0.452	0.13
PHOX2A	0.02	0.036	0.014	0.003	0.021	0.006	0.003	0.007	0.009	0.0	0.015	0.004	0.0	0.0	0.098
PHOX2B	0.003	0.021	0.026	0.009	0.0	0.0	0.024	0.014	0.0	0.025	0.013	0.019	0.0	0.005	0.018
UPK2	0.125	NA	0.0	0.041	0.0	0.036	0.0	0.0	0.0	0.176	0.095	0.106	0.0	0.5	0.05
CFH	0.388	0.694	0.242	0.075	0.318	0.189	0.295	0.517	0.324	0.385	0.589	0.46	0.264	0.27	0.355
CFI	0.298	0.694	0.388	0.26	0.044	0.284	0.358	0.581	0.466	0.385	0.451	0.286	0.505	0.522	0.625
ANKFY1	0.699	0.472	0.516	0.455	0.31	0.319	0.278	0.507	0.658	0.588	0.675	0.503	0.439	0.52	0.507
CFB	0.49	0.615	0.636	0.208	0.163	0.311	0.294	0.612	0.5	0.384	0.373	0.636	0.283	0.32	0.438
TPT1-AS1	0.692	0.565	0.54	0.337	0.366	0.383	0.182	0.525	0.429	0.549	0.607	0.585	0.659	0.519	0.573
CFP	0.143	0.207	0.17	0.133	0.145	0.0	0.008	0.209	0.149	0.206	0.68	0.107	0.1	0.049	0.163
REREP3	0.344	0.311	0.312	0.198	0.1	0.087	0.179	0.387	0.326	0.292	0.51	0.231	0.302	0.21	0.431
AAAS	0.704	0.5	0.278	0.25	0.343	0.144	0.315	0.469	0.335	0.5	0.676	0.448	0.397	0.584	0.367
SIDT1	0.137	0.158	0.2	0.14	0.088	0.037	0.029	0.358	0.315	0.369	0.433	0.425	0.221	0.248	0.421
SIDT2	0.573	0.554	0.441	0.288	0.199	0.196	0.289	0.535	0.527	0.516	0.373	0.607	0.438	0.571	0.338
CDH24	0.21	0.101	0.122	0.036	0.005	0.02	0.063	0.105	0.25	0.189	0.342	0.169	0.159	0.12	0.093
PISRT1	NA	NA	NA	0.0	0.0	NA	0.0	NA	NA	0.5	NA	NA	NA	NA	NA
LOC283070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.32	0.206	0.318	0.182	0.6	0.667
SAGE1	0.28	0.263	0.156	0.061	0.0	0.391	0.087	0.195	0.266	0.343	0.556	0.391	0.232	0.141	0.172
AAGAB	0.444	0.617	0.557	0.386	0.202	0.193	0.31	0.487	0.58	0.643	0.773	0.694	0.563	0.392	0.609
C4orf19	0.684	0.594	0.679	0.438	0.436	0.415	0.281	0.566	0.811	0.582	0.684	0.563	0.728	0.584	0.742
C4orf17	0.209	0.5	0.462	0.26	NA	0.219	0.043	0.286	0.545	0.527	0.35	0.466	0.364	0.408	0.52
CDH26	0.776	0.645	0.729	0.457	0.4	0.288	0.518	0.487	0.712	0.743	0.774	0.811	0.868	0.737	0.529
RNU6-67P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NBEAP1	0.333	0.143	0.53	0.5	0.5	0.3	0.556	0.708	0.688	0.797	0.776	0.143	0.222	0.548	0.789
RFPL4AL1	0.083	NA	NA	0.0	0.167	NA	NA	0.0	0.0	0.692	0.333	0.6	0.455	0.5	0.111
ETV3L	0.132	0.424	0.057	0.015	0.033	0.0	0.032	0.074	0.458	0.481	0.429	0.114	0.1	0.042	0.083
TEN1-CDK3	0.569	0.553	0.408	0.329	0.327	0.222	0.296	0.407	0.424	0.625	0.65	0.553	0.61	0.396	0.435
ZNF197-AS1	0.545	0.5	0.25	0.15	NA	0.091	0.0	0.333	0.188	0.538	0.929	0.3	0.429	0.1	0.375
MKRN2OS	0.712	0.438	0.707	0.37	0.067	0.19	0.167	0.737	0.643	0.488	0.824	0.359	0.471	0.636	0.48
MSL3P1	0.0	1.0	0.521	0.029	0.0	0.115	0.423	0.167	0.846	NA	NA	0.1	0.0	NA	0.408
NCBP2-AS2	0.009	0.0	0.037	0.0	0.0	0.016	0.0	0.0	0.016	0.0	0.0	0.0	0.009	0.012	0.0
LOC286297	0.2	NA	0.0	0.0	0.0	0.0	NA	NA	0.222	0.333	0.75	0.0	0.417	0.182	0.083
C15orf26	0.778	0.696	0.554	0.459	0.556	0.227	0.232	0.643	0.679	0.58	0.684	0.409	0.767	0.288	0.308
C15orf27	0.594	0.415	0.497	0.19	0.287	0.179	0.258	0.32	0.336	0.625	0.703	0.336	0.544	0.479	0.505
MCCD1	0.0	0.0	0.111	0.0	0.429	0.0	0.0	0.143	0.0	0.0	0.286	0.167	0.125	0.071	0.0
ZNF117	1.0	NA	0.75	0.5	0.5	0.167	0.333	0.667	0.643	0.833	0.9	0.654	0.62	0.8	1.0
ZNF114	0.335	0.162	0.167	0.132	0.116	0.071	0.159	0.125	0.291	0.184	0.159	0.424	0.336	0.142	0.184
ZNF112	0.346	0.609	0.769	0.438	0.357	0.429	0.45	0.226	0.486	0.932	0.8	0.938	0.5	0.684	0.862
SEZ6L	0.162	0.2	0.208	0.036	0.058	0.115	0.116	0.246	0.265	0.288	0.397	0.236	0.263	0.299	0.218
MIR6780B	NA	NA	NA	NA	NA	NA	0.0	NA	NA	0.0	1.0	NA	0.0	NA	NA
MIR6780A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKAR2A	0.67	0.63	0.587	0.458	0.367	0.273	0.262	0.684	0.593	0.571	0.642	0.6	0.574	0.451	0.588
PRKAR2B	0.635	0.586	0.682	0.288	0.234	0.458	0.458	0.609	0.613	0.719	0.893	0.63	0.714	0.507	0.778
MAGT1	0.855	0.661	0.697	0.433	0.5	0.414	0.349	0.897	0.886	0.818	0.855	0.81	0.793	0.793	0.956
TMBIM6	0.547	0.563	0.322	0.15	0.23	0.176	0.308	0.235	0.282	0.588	0.547	0.34	0.458	0.634	0.315
S1PR4	0.095	0.029	0.03	0.011	0.0	0.013	0.132	0.548	0.318	0.164	0.261	0.02	0.14	0.125	0.099
ITGA2B	0.233	0.306	0.159	0.066	0.066	0.117	0.052	0.083	0.077	0.114	0.194	0.035	0.258	0.105	0.145
PHACTR4	0.763	0.567	0.644	0.461	0.452	0.474	0.578	0.428	0.739	0.705	0.562	0.559	0.558	0.491	0.424
PHACTR1	0.636	0.562	0.562	0.288	0.33	0.376	0.376	0.59	0.581	0.649	0.806	0.651	0.638	0.646	0.806
OR2K2	1.0	NA	1.0	NA	0.0	NA	0.25	1.0	NA	1.0	1.0	1.0	0.889	0.909	1.0
PHACTR3	0.668	0.523	0.497	0.349	0.351	0.206	0.382	0.415	0.558	0.728	0.615	0.649	0.62	0.586	0.48
NLGN1	0.724	0.813	0.697	0.493	0.435	0.292	0.452	0.818	0.711	0.756	0.798	0.771	0.665	0.619	0.786
KRTAP2-3	0.0	0.0	0.0	0.0	0.0	0.167	0.0	0.04	0.0	NA	NA	NA	NA	NA	0.0
KRTAP2-2	0.0	0.0	NA	NA	NA	0.0	0.0	0.0	NA	0.667	0.542	NA	0.0	0.0	0.333
KRTAP2-1	0.0	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	0.0	0.0	0.0	0.0
KRTAP2-4	0.0	NA	0.0	NA	0.0	NA	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	0.0
MIR4708	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA
MIR4709	1.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	0.0	1.0	NA	NA
MIR4705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4706	1.0	NA	NA	0.25	NA	NA	NA	NA	0.875	1.0	NA	1.0	NA	0.0	0.75
MIR4707	0.0	NA	NA	0.0	0.0	0.0	0.0	NA	0.0	0.1	NA	0.0	0.0	0.0	0.0
MIR4700	1.0	NA	NA	NA	NA	0.0	0.0	NA	1.0	NA	NA	NA	0.0	NA	NA
MIR4701	NA	NA	0.0	0.0	NA	NA	0.0	1.0	0.0	1.0	0.0	0.0	NA	NA	0.0
MIR4703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SBF1P1	0.033	0.0	0.015	0.007	0.0	0.016	0.0	0.015	0.01	0.0	0.129	0.011	0.02	0.117	0.038
LOC101928030	0.862	1.0	0.75	0.422	0.75	0.444	0.413	0.855	0.533	0.784	0.897	0.806	0.715	0.791	0.9
LOC101928036	0.519	0.444	0.4	0.278	0.25	0.667	0.4	0.412	0.905	0.694	0.857	0.483	0.583	0.765	0.813
LOC101928035	0.889	0.917	0.697	0.28	0.333	0.636	0.47	0.843	0.738	0.959	0.926	0.654	0.775	0.884	0.824
VMP1	0.746	0.576	0.618	0.432	0.397	0.424	0.4	0.591	0.609	0.546	0.689	0.46	0.693	0.614	0.635
EPN2-AS1	0.873	0.5	0.864	0.394	0.605	0.222	0.455	0.518	0.765	0.475	0.625	0.556	0.287	0.367	0.75
NR1D1	0.121	0.086	0.271	0.03	0.0	0.02	0.011	0.012	0.038	0.182	0.257	0.055	0.28	0.074	0.046
NR1D2	0.111	0.3	0.251	0.22	0.161	0.06	0.326	0.349	0.127	0.164	0.179	0.179	0.384	0.129	0.215
UFSP1	0.042	0.077	0.0	0.0	0.022	0.063	0.078	0.0	0.0	0.022	0.081	0.0	0.109	0.094	0.0
OGFR	0.245	0.172	0.205	0.042	0.226	0.094	0.024	0.336	0.182	0.077	0.201	0.1	0.253	0.579	0.217
LOC151121	0.357	0.667	0.234	0.303	0.467	0.421	0.207	0.608	0.316	0.556	0.885	0.725	0.757	0.313	0.454
PTCH2	0.117	0.201	0.137	0.037	0.095	0.051	0.088	0.266	0.088	0.223	0.115	0.153	0.073	0.028	0.023
PTCH1	0.291	0.207	0.239	0.129	0.1	0.157	0.081	0.372	0.241	0.376	0.221	0.442	0.288	0.17	0.311
AOAH-IT1	NA	NA	1.0	0.333	0.0	0.75	NA	1.0	NA	0.857	0.5	0.667	0.889	0.5	0.857
TIMM44	0.34	0.487	0.347	0.15	0.113	0.143	0.115	0.26	0.187	0.286	0.324	0.438	0.228	0.178	0.18
RAD9B	0.605	0.568	0.711	0.25	0.337	0.311	0.247	0.504	0.534	0.616	0.685	0.63	0.515	0.675	0.615
RAD9A	0.25	0.329	0.106	0.0	0.027	0.038	0.006	0.177	0.097	0.162	0.33	0.303	0.106	0.274	0.182
ERGIC2	0.44	0.08	0.526	0.114	0.32	0.222	0.313	0.672	0.333	0.42	0.161	0.311	0.629	0.5	0.5
ERGIC3	0.627	0.346	0.404	0.327	0.141	0.324	0.179	0.617	0.559	0.565	0.547	0.578	0.655	0.603	0.403
ERGIC1	0.676	0.56	0.482	0.029	0.369	0.288	0.429	0.439	0.341	0.545	0.66	0.504	0.386	0.562	0.561
MIR3165	NA	NA	1.0	NA	NA	NA	0.0	NA	NA	NA	NA	1.0	0.0	NA	NA
MIR3167	NA	NA	1.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
MIR3162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3GAT3	0.272	0.615	0.14	0.119	0.148	0.052	0.036	0.217	0.16	0.185	0.325	0.154	0.221	0.248	0.212
B3GAT2	0.441	0.255	0.37	0.196	0.25	0.411	0.278	0.399	0.563	0.447	0.387	0.364	0.39	0.502	0.47
B3GAT1	0.412	0.39	0.296	0.22	0.213	0.2	0.114	0.276	0.329	0.33	0.292	0.271	0.347	0.393	0.272
MIR3169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CALM2	0.274	0.0	0.341	0.24	0.206	0.143	0.065	0.146	0.169	0.067	0.119	0.441	0.274	0.143	0.194
TTC30A	0.297	0.0	0.0	0.0	0.0	0.048	0.027	0.0	0.022	0.0	NA	0.18	0.0	0.5	0.0
TTC30B	0.059	0.0	0.0	0.0	0.053	0.054	0.0	0.0	NA	0.0	NA	0.065	0.041	0.048	0.077
SPG20	0.377	0.163	0.203	0.152	0.087	0.099	0.07	0.507	0.313	0.392	0.409	0.342	0.505	0.442	0.331
GSDMA	0.073	0.036	0.258	0.154	0.0	0.096	0.0	0.104	0.024	0.136	0.25	0.014	0.296	0.02	0.148
GSDMB	0.515	0.632	0.267	0.457	0.258	0.436	0.275	0.396	0.813	0.603	0.7	0.574	0.646	0.414	0.565
GSDMC	0.968	0.952	0.511	0.528	0.375	0.613	0.5	0.76	0.677	0.865	0.95	0.943	0.949	0.85	0.927
GSDMD	0.108	0.331	0.182	0.017	0.039	0.14	0.054	0.148	0.08	0.215	0.231	0.214	0.25	0.37	0.189
UPK1A	0.238	0.069	0.187	0.033	0.025	0.078	0.063	0.046	0.013	0.145	0.12	0.142	0.389	0.213	0.083
UPK1B	0.36	0.571	0.409	0.112	0.237	0.143	0.143	0.457	0.267	0.311	0.407	0.188	0.382	0.316	0.729
DLGAP2	0.749	0.528	0.581	0.351	0.266	0.407	0.52	0.672	0.586	0.66	0.687	0.625	0.638	0.716	0.744
DLGAP3	0.084	0.236	0.101	0.006	0.048	0.018	0.055	0.151	0.126	0.204	0.113	0.134	0.095	0.048	0.122
DLGAP1	0.507	0.465	0.472	0.208	0.178	0.265	0.295	0.305	0.471	0.526	0.554	0.437	0.5	0.461	0.516
DLGAP4	0.32	0.287	0.257	0.235	0.187	0.116	0.093	0.228	0.255	0.399	0.325	0.332	0.277	0.466	0.298
DLGAP5	0.67	0.423	0.671	0.413	0.57	0.565	0.371	0.553	0.676	0.676	0.679	0.404	0.734	0.597	0.512
CYP27B1	0.085	0.625	0.538	0.126	0.33	0.227	0.371	0.034	0.078	0.018	0.014	0.081	0.018	0.0	0.05
OIP5	0.61	0.432	0.438	0.403	0.232	0.272	0.434	0.567	0.448	0.544	0.658	0.394	0.579	0.481	0.603
GCSAML-AS1	0.4	0.5	0.333	0.0	0.5	1.0	1.0	0.0	0.667	0.125	0.8	0.4	0.313	0.2	0.5
FBXL19	0.434	0.247	0.331	0.279	0.1	0.127	0.249	0.303	0.162	0.355	0.423	0.18	0.258	0.419	0.355
INO80B-WBP1	0.127	0.0	0.0	0.076	0.0	0.013	0.014	0.013	0.015	0.021	0.132	0.094	0.061	0.012	0.044
MIR506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN18	0.176	0.028	0.04	0.028	0.029	0.066	0.027	0.175	0.086	0.103	1.0	0.143	0.086	0.085	0.146
LRRFIP2	0.651	0.678	0.463	0.456	0.481	0.233	0.349	0.628	0.614	0.604	0.631	0.582	0.719	0.617	0.783
PTPN13	0.722	0.523	0.693	0.429	0.461	0.29	0.468	0.593	0.729	0.718	0.929	0.702	0.694	0.639	0.771
PTPN12	0.659	0.686	0.546	0.276	0.287	0.274	0.358	0.704	0.517	0.523	0.396	0.431	0.374	0.628	0.632
PTPN11	0.54	0.604	0.443	0.293	0.327	0.25	0.426	0.542	0.646	0.579	0.671	0.542	0.568	0.696	0.723
PTPN14	0.719	0.561	0.596	0.333	0.374	0.241	0.509	0.678	0.771	0.663	0.789	0.758	0.686	0.556	0.782
LYAR	0.638	0.5	0.371	0.435	0.379	0.137	0.231	0.341	0.18	0.316	0.463	0.387	0.737	0.293	0.541
C2orf81	0.037	0.44	0.353	0.048	0.08	0.009	0.082	0.032	0.29	0.0	0.024	0.339	0.333	0.136	0.042
C2orf80	0.18	0.455	0.185	0.096	0.0	0.167	0.133	0.364	0.102	0.37	0.364	0.435	0.157	0.178	0.097
DMRTB1	0.324	0.233	0.179	0.165	0.03	0.012	0.032	0.152	0.178	0.217	0.37	0.257	0.105	0.101	0.145
C2orf82	0.37	0.268	0.256	0.339	0.226	0.415	0.113	0.373	0.215	0.339	0.018	0.346	0.078	0.348	0.445
SNORA84	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	0.667	NA	NA	NA
C2orf88	0.406	0.269	0.307	0.228	0.151	0.183	0.129	0.165	0.407	0.256	0.209	0.422	0.274	0.455	0.279
MSMP	0.818	0.75	0.667	0.6	0.0	0.333	NA	1.0	0.5	0.7	1.0	0.333	0.75	0.313	0.462
MZB1	0.308	0.889	0.016	0.0	0.158	0.034	0.091	0.069	0.0	0.524	0.714	0.066	0.193	0.188	0.0
TRAPPC6B	0.709	0.8	0.335	0.407	0.368	0.727	0.194	0.571	0.774	0.633	0.49	0.49	0.597	0.652	0.611
HLA-DQB1	0.029	NA	0.149	0.0	0.0	0.016	0.0	0.0	0.048	0.679	1.0	0.02	0.0	0.026	0.0
MSMB	0.071	0.056	0.259	0.12	0.0	0.02	0.0	0.042	0.303	0.364	0.321	0.121	0.132	0.088	0.158
HLA-DQB2	0.089	0.2	0.022	0.0	0.012	0.0	0.238	0.0	0.015	0.042	0.028	0.025	0.0	0.0	0.059
LOC100129027	0.862	0.735	0.642	0.613	0.311	0.57	0.507	0.786	0.732	0.891	0.652	0.628	0.665	0.529	0.581
CDK7	0.639	0.679	0.474	0.356	0.667	0.339	0.453	0.607	0.439	0.431	0.581	0.479	0.459	0.664	0.485
FOXS1	0.161	0.095	0.043	0.152	0.0	0.0	0.021	0.0	0.0	0.029	0.037	0.037	0.167	0.614	0.019
CTC-360P9.3	0.053	0.333	0.161	0.029	0.132	0.324	0.409	0.239	0.271	0.475	0.296	0.521	0.662	0.288	0.449
HAPLN4	0.015	0.041	0.013	0.027	0.012	0.022	0.005	0.014	0.019	0.0	0.006	0.041	0.023	0.005	0.036
